==========================================================================================
COMPLETE TParams OFFSET-TO-NAME MAPPING TABLE
==========================================================================================
OFFSET   PARAM_NAME                                              DEFAULT_VALUE
0x0A60   mBodyAngleParamsWaterGun.mWaistPitch                    80.0f
0x0A74   mBodyAngleParamsWaterGun.mWaistRollMax                  0
0x0A88   mBodyAngleParamsWaterGun.mWaistPitchMax                 1000
0x0A9C   mBodyAngleParamsWaterGun.mWaistAngleChangeRate          0.07f
  --- mAttackParamsFencePunch (TAttackParams) @ base 0x0AA0 ---
0x0AB8   mAttackParamsFencePunch.mRadius                         100.0f
0x0ACC   mAttackParamsFencePunch.mHeight                         50.0f
  --- mAttackParamsKickRoof (TAttackParams) @ base 0x0AD0 ---
0x0AE8   mAttackParamsKickRoof.mRadius                           100.0f
0x0AFC   mAttackParamsKickRoof.mHeight                           50.0f
  --- mJumpParams (TJumpParams) @ base 0x0B00 ---
0x0B18   mJumpParams.mGravity                                    0.8f
0x0B2C   mJumpParams.mSpinJumpGravity                            0.6f
0x0B40   mJumpParams.mJumpingMax                                 80.0f
0x0B54   mJumpParams.mJumpSpeedBrake                             0.999f
0x0B68   mJumpParams.mJumpAccelControl                           0.5f
0x0B7C   mJumpParams.mJumpSlideControl                           0.5f
0x0B90   mJumpParams.mTurnJumpForce                              62.0f
0x0BA4   mJumpParams.mFenceSpeed                                 2.0f
0x0BB8   mJumpParams.mFireDownForce                              80.0f
0x0BCC   mJumpParams.mFireDownControl                            1.0f
0x0BE0   mJumpParams.mFireBackVelocity                           1.0f
0x0BF4   mJumpParams.mBroadJumpForce                             80.0f
0x0C08   mJumpParams.mBroadJumpForceY                            30.0f
0x0C1C   mJumpParams.mRotateJumpForceY                           62.0f
0x0C30   mJumpParams.mPopUpSpeedY                                5.0f
0x0C44   mJumpParams.mPopUpForceYMult                            10.0f
0x0C58   mJumpParams.mBackJumpForce                              -16.0f
0x0C6C   mJumpParams.mBackJumpForceY                             62.0f
0x0C80   mJumpParams.mHipAttackSpeedY                            -50.0f
0x0C94   mJumpParams.mSuperHipAttackSpeedY                       -80.0f
0x0CA8   mJumpParams.mJumpCatchRotXSp                            0x100
0x0CBC   mJumpParams.mJumpCatchRotXMax                           0x2aaa
0x0CD0   mJumpParams.mRotBroadEnableV                            30.0f
0x0CE4   mJumpParams.mRotBroadJumpForce                          60.0f
0x0CF8   mJumpParams.mRotBroadJumpForceY                         20.0f
0x0D0C   mJumpParams.mTrampolineDec                              1.0f
0x0D20   mJumpParams.mSecJumpEnableSp                            20.0f
0x0D34   mJumpParams.mSecJumpForce                               52.0f
0x0D48   mJumpParams.mSecJumpSpeedMult                           0.0f
0x0D5C   mJumpParams.mSecJumpXZMult                              0.8f
0x0D70   mJumpParams.mTriJumpEnableSp                            20.0f
0x0D84   mJumpParams.mUltraJumpForce                             70.0f
0x0D98   mJumpParams.mUltraJumpSpeedMult                         0.25f
0x0DAC   mJumpParams.mUltraJumpXZMult                            0.8f
0x0DC0   mJumpParams.mValleyDepth                                500.0f
0x0DD4   mJumpParams.mThrownAccel                                0.5f
0x0DE8   mJumpParams.mThrownSlide                                0.5f
0x0DFC   mJumpParams.mThrownBrake                                0.98f
0x0E10   mJumpParams.mTremblePower                               5.0f
0x0E24   mJumpParams.mTrembleAccele                              2.0f
0x0E38   mJumpParams.mTrembleBrake                               0.99f
0x0E4C   mJumpParams.mTrembleTime                                600
0x0E60   mJumpParams.mClashAngle                                 0x3555
0x0E74   mJumpParams.mJumpJumpCatchSp                            50.0f
0x0E88   mJumpParams.mGetOffYoshiY                               30.0f
0x0E9C   mJumpParams.mSuperHipAttackCt                           0x32
  --- mRunParams (TRunParams) @ base 0x0EA0 ---
0x0EB8   mRunParams.mMaxSpeed                                    32.0f
0x0ECC   mRunParams.mVelMinusBrake                               1.1f
0x0EE0   mRunParams.mAddBase                                     1.1f
0x0EF4   mRunParams.mAddVelDiv                                   0.0233f
0x0F08   mRunParams.mDecStartNrmY                                0.95f
0x0F1C   mRunParams.mDecBrake                                    1.0f
0x0F30   mRunParams.mSoft2Walk                                   8.0f
0x0F44   mRunParams.mWalk2Soft                                   5.0f
0x0F58   mRunParams.mSoftStepAnmMult                             0.125f
0x0F6C   mRunParams.mRunAnmSpeedBase                             1.0f
0x0F80   mRunParams.mRunAnmSpeedMult                             0.06f
0x0F94   mRunParams.mMotBlendWalkSp                              1.0f
0x0FA8   mRunParams.mMotBlendRunSp                               3.0f
0x0FBC   mRunParams.mSwimDepth                                   120.0f
0x0FD0   mRunParams.mInWaterBrake                                0.9f
0x0FE4   mRunParams.mInWaterAnmBrake                             0.6f
0x0FF8   mRunParams.mPumpingSlideSp                              0.1f
0x100C   mRunParams.mPumpingSlideAnmSp                           0.5f
0x1020   mRunParams.mDoJumpCatchSp                               15.0f
0x1034   mRunParams.mTurnNeedSp                                  10.0f
0x1048   mRunParams.mDashRotSp                                   100
  --- mSwimParams (TSwimParams) @ base 0x104C ---
0x1064   mSwimParams.mStartSp                                    1.0f
0x1078   mSwimParams.mMoveSp                                     0.8f
0x108C   mSwimParams.mMoveBrake                                  1.0f
0x10A0   mSwimParams.mSwimmingRotSpMin                           0x200
0x10B4   mSwimParams.mSwimmingRotSpMax                           0x400
0x10C8   mSwimParams.mPumpingRotSpMin                            0x100
0x10DC   mSwimParams.mPumpingRotSpMax                            0x200
0x10F0   mSwimParams.mGravity                                    0.1f
0x1104   mSwimParams.mWaitBouyancy                               1.0f
0x1118   mSwimParams.mMoveBouyancy                               1.0f
0x112C   mSwimParams.mUpDownBrake                                0.95f
0x1140   mSwimParams.mCanJumpDepth                               1.0f
0x1154   mSwimParams.mEndDepth                                   80.0f
0x1168   mSwimParams.mFloatHeight                                120.0f
0x117C   mSwimParams.mStartVMult                                 0.1f
0x1190   mSwimParams.mStartVYMult                                0.1f
0x11A4   mSwimParams.mRush                                       3.0f
0x11B8   mSwimParams.mAnmBrake                                   0.02f
0x11CC   mSwimParams.mPaddleSpeedUp                              0.3f
0x11E0   mSwimParams.mPaddleJumpUp                               1.0f
0x11F4   mSwimParams.mFloatUp                                    2.0f
0x1208   mSwimParams.mWaterLevelCheckHeight                      10.0f
0x121C   mSwimParams.mPaddleDown                                 1.0f
0x1230   mSwimParams.mWaitSinkTime                               0x32
0x1244   mSwimParams.mCanBreathDepth                             50.0f
0x1258   mSwimParams.mWaitSinkSpeed                              5.0f
0x126C   mSwimParams.mAirDec                                     0.001f
0x1280   mSwimParams.mAirDecDive                                 0.001f
0x1294   mSwimParams.mAirInc                                     0.03f
  --- mHangingParams (THangingParams) @ base 0x1298 ---
0x12B0   mHangingParams.mMoveSp                                  0.1f
0x12C4   mHangingParams.mAnmRate                                 0.5f
0x12D8   mHangingParams.mRapidTime                               2000
0x12EC   mHangingParams.mLimitTime                               0x960
0x1300   mHangingParams.mAnmRapid                                8.0f
0x1314   mHangingParams.mDescentSp                               10.0f
  --- mHangRoofParams (THangRoofParams) @ base 0x1318 ---
0x1330   mHangRoofParams.mAnmMult                                0.3f
  --- mWireParams (TWireParams) @ base 0x1334 ---
0x134C   mWireParams.mRotSpeed                                   -8
0x1360   mWireParams.mRotSpeedTrgHover                           8
0x1374   mWireParams.mRotSpeedTrgTurbo                           1000
0x1388   mWireParams.mRotSpeedTrgRocket                          1000
0x139C   mWireParams.mRotSpeedMax                                0x578
0x13B0   mWireParams.mRotStop                                    100
0x13C4   mWireParams.mRotGravity                                 0x14
0x13D8   mWireParams.mRotBrake                                   0.98f
0x13EC   mWireParams.mJumpRate                                   0.09f
0x1400   mWireParams.mSwingRate                                  0.005f
0x1414   mWireParams.mWireJumpAccelControl                       0.01f
0x1428   mWireParams.mWireJumpSlideControl                       0.3f
0x143C   mWireParams.mWireJumpMult                               5.0f
0x1450   mWireParams.mWireJumpBase                               20.0f
0x1464   mWireParams.mWireSwingBrake                             0.99f
0x1478   mWireParams.mWireSwingMax                               100.0f
  --- mPullParamsBGBeak (TPullParams) @ base 0x147C ---
0x1494   mPullParamsBGBeak.mPullRateV                            0.3f
0x14A8   mPullParamsBGBeak.mPullRateH                            0.05f
0x14BC   mPullParamsBGBeak.mOilPullRateV                         0.1f
0x14D0   mPullParamsBGBeak.mOilPullRateH                         0.01f
  --- mPullParamsBGTentacle (TPullParams) @ base 0x14D4 ---
0x14EC   mPullParamsBGTentacle.mPullRateV                        0.3f
0x1500   mPullParamsBGTentacle.mPullRateH                        0.05f
0x1514   mPullParamsBGTentacle.mOilPullRateV                     0.1f
0x1528   mPullParamsBGTentacle.mOilPullRateH                     0.01f
  --- mPullParamsBGFireWanWanBossTail (TPullParams) @ base 0x152C ---
0x1544   mPullParamsBGFireWanWanBossTail.mPullRateV              0.3f
0x1558   mPullParamsBGFireWanWanBossTail.mPullRateH              0.05f
0x156C   mPullParamsBGFireWanWanBossTail.mOilPullRateV           0.1f
0x1580   mPullParamsBGFireWanWanBossTail.mOilPullRateH           0.01f
  --- mPullParamsFireWanWanTail (TPullParams) @ base 0x1584 ---
0x159C   mPullParamsFireWanWanTail.mPullRateV                    0.3f
0x15B0   mPullParamsFireWanWanTail.mPullRateH                    0.05f
0x15C4   mPullParamsFireWanWanTail.mOilPullRateV                 0.1f
0x15D8   mPullParamsFireWanWanTail.mOilPullRateH                 0.01f
  --- mBarParams (TBarParams) @ base 0x15DC ---
0x15F4   mBarParams.mClimbSp                                     0.035f
0x1608   mBarParams.mRotateSp                                    3.0f
0x161C   mBarParams.mClimbAnmRate                                0.0039f
0x1630   mBarParams.mCatchRadius                                 100.0f
0x1644   mBarParams.mCatchAngle                                  0.8f
  --- mSurfingParamsWaterRed (TSurfingParams) @ base 0x1648 ---
0x1660   mSurfingParamsWaterRed.mRotMin                          2048.0f
0x1674   mSurfingParamsWaterRed.mRotMax                          1024.0f
0x1688   mSurfingParamsWaterRed.mPowMin                          24.0f
0x169C   mSurfingParamsWaterRed.mPowMax                          64.0f
0x16B0   mSurfingParamsWaterRed.mAccel                           58.0f
0x16C4   mSurfingParamsWaterRed.mWaistRoll                       0.25f
0x16D8   mSurfingParamsWaterRed.mWaistPitch                      170.0f
0x16EC   mSurfingParamsWaterRed.mWaistRollMax                    0x400
0x1700   mSurfingParamsWaterRed.mWaistPitchMax                   0x1555
0x1714   mSurfingParamsWaterRed.mRoll                            -0.45f
0x1728   mSurfingParamsWaterRed.mPitch                           -170.0f
0x173C   mSurfingParamsWaterRed.mRollMax                         0x4000
0x1750   mSurfingParamsWaterRed.mPitchMax                        0x1555
0x1764   mSurfingParamsWaterRed.mAngleChangeRate                 0.01f
0x1778   mSurfingParamsWaterRed.mWaistAngleChangeRate            0.01f
0x178C   mSurfingParamsWaterRed.mScaleMin                        0.5f
0x17A0   mSurfingParamsWaterRed.mScaleMax                        1.0f
0x17B4   mSurfingParamsWaterRed.mScaleMinSpeed                   24.0f
0x17C8   mSurfingParamsWaterRed.mScaleMaxSpeed                   60.0f
0x17DC   mSurfingParamsWaterRed.mJumpPow                         42.0f
0x17F0   mSurfingParamsWaterRed.mJumpXZRatio                     0.25f
0x1804   mSurfingParamsWaterRed.mClashSpeed                      40.0f
0x1818   mSurfingParamsWaterRed.mClashAngle                      0x5555
  --- mSurfingParamsGroundRed (TSurfingParams) @ base 0x181C ---
0x1834   mSurfingParamsGroundRed.mRotMin                         2048.0f
0x1848   mSurfingParamsGroundRed.mRotMax                         1024.0f
0x185C   mSurfingParamsGroundRed.mPowMin                         24.0f
0x1870   mSurfingParamsGroundRed.mPowMax                         64.0f
0x1884   mSurfingParamsGroundRed.mAccel                          58.0f
0x1898   mSurfingParamsGroundRed.mWaistRoll                      0.25f
0x18AC   mSurfingParamsGroundRed.mWaistPitch                     170.0f
0x18C0   mSurfingParamsGroundRed.mWaistRollMax                   0x400
0x18D4   mSurfingParamsGroundRed.mWaistPitchMax                  0x1555
0x18E8   mSurfingParamsGroundRed.mRoll                           -0.45f
0x18FC   mSurfingParamsGroundRed.mPitch                          -170.0f
0x1910   mSurfingParamsGroundRed.mRollMax                        0x4000
0x1924   mSurfingParamsGroundRed.mPitchMax                       0x1555
0x1938   mSurfingParamsGroundRed.mAngleChangeRate                0.01f
0x194C   mSurfingParamsGroundRed.mWaistAngleChangeRate           0.01f
0x1960   mSurfingParamsGroundRed.mScaleMin                       0.5f
0x1974   mSurfingParamsGroundRed.mScaleMax                       1.0f
0x1988   mSurfingParamsGroundRed.mScaleMinSpeed                  24.0f
0x199C   mSurfingParamsGroundRed.mScaleMaxSpeed                  60.0f
0x19B0   mSurfingParamsGroundRed.mJumpPow                        42.0f
0x19C4   mSurfingParamsGroundRed.mJumpXZRatio                    0.25f
0x19D8   mSurfingParamsGroundRed.mClashSpeed                     40.0f
0x19EC   mSurfingParamsGroundRed.mClashAngle                     0x5555
  --- mSurfingParamsWaterYellow (TSurfingParams) @ base 0x19F0 ---
0x1A08   mSurfingParamsWaterYellow.mRotMin                       2048.0f
0x1A1C   mSurfingParamsWaterYellow.mRotMax                       1024.0f
0x1A30   mSurfingParamsWaterYellow.mPowMin                       24.0f
0x1A44   mSurfingParamsWaterYellow.mPowMax                       64.0f
0x1A58   mSurfingParamsWaterYellow.mAccel                        58.0f
0x1A6C   mSurfingParamsWaterYellow.mWaistRoll                    0.25f
0x1A80   mSurfingParamsWaterYellow.mWaistPitch                   170.0f
0x1A94   mSurfingParamsWaterYellow.mWaistRollMax                 0x400
0x1AA8   mSurfingParamsWaterYellow.mWaistPitchMax                0x1555
0x1ABC   mSurfingParamsWaterYellow.mRoll                         -0.45f
0x1AD0   mSurfingParamsWaterYellow.mPitch                        -170.0f
0x1AE4   mSurfingParamsWaterYellow.mRollMax                      0x4000
0x1AF8   mSurfingParamsWaterYellow.mPitchMax                     0x1555
0x1B0C   mSurfingParamsWaterYellow.mAngleChangeRate              0.01f
0x1B20   mSurfingParamsWaterYellow.mWaistAngleChangeRate         0.01f
0x1B34   mSurfingParamsWaterYellow.mScaleMin                     0.5f
0x1B48   mSurfingParamsWaterYellow.mScaleMax                     1.0f
0x1B5C   mSurfingParamsWaterYellow.mScaleMinSpeed                24.0f
0x1B70   mSurfingParamsWaterYellow.mScaleMaxSpeed                60.0f
0x1B84   mSurfingParamsWaterYellow.mJumpPow                      42.0f
0x1B98   mSurfingParamsWaterYellow.mJumpXZRatio                  0.25f
0x1BAC   mSurfingParamsWaterYellow.mClashSpeed                   40.0f
0x1BC0   mSurfingParamsWaterYellow.mClashAngle                   0x5555
  --- mSurfingParamsGroundYellow (TSurfingParams) @ base 0x1BC4 ---
0x1BDC   mSurfingParamsGroundYellow.mRotMin                      2048.0f
0x1BF0   mSurfingParamsGroundYellow.mRotMax                      1024.0f
0x1C04   mSurfingParamsGroundYellow.mPowMin                      24.0f
0x1C18   mSurfingParamsGroundYellow.mPowMax                      64.0f
0x1C2C   mSurfingParamsGroundYellow.mAccel                       58.0f
0x1C40   mSurfingParamsGroundYellow.mWaistRoll                   0.25f
0x1C54   mSurfingParamsGroundYellow.mWaistPitch                  170.0f
0x1C68   mSurfingParamsGroundYellow.mWaistRollMax                0x400
0x1C7C   mSurfingParamsGroundYellow.mWaistPitchMax               0x1555
0x1C90   mSurfingParamsGroundYellow.mRoll                        -0.45f
0x1CA4   mSurfingParamsGroundYellow.mPitch                       -170.0f
0x1CB8   mSurfingParamsGroundYellow.mRollMax                     0x4000
0x1CCC   mSurfingParamsGroundYellow.mPitchMax                    0x1555
0x1CE0   mSurfingParamsGroundYellow.mAngleChangeRate             0.01f
0x1CF4   mSurfingParamsGroundYellow.mWaistAngleChangeRate        0.01f
0x1D08   mSurfingParamsGroundYellow.mScaleMin                    0.5f
0x1D1C   mSurfingParamsGroundYellow.mScaleMax                    1.0f
0x1D30   mSurfingParamsGroundYellow.mScaleMinSpeed               24.0f
0x1D44   mSurfingParamsGroundYellow.mScaleMaxSpeed               60.0f
0x1D58   mSurfingParamsGroundYellow.mJumpPow                     42.0f
0x1D6C   mSurfingParamsGroundYellow.mJumpXZRatio                 0.25f
0x1D80   mSurfingParamsGroundYellow.mClashSpeed                  40.0f
0x1D94   mSurfingParamsGroundYellow.mClashAngle                  0x5555
  --- mSurfingParamsWaterGreen (TSurfingParams) @ base 0x1D98 ---
0x1DB0   mSurfingParamsWaterGreen.mRotMin                        2048.0f
0x1DC4   mSurfingParamsWaterGreen.mRotMax                        1024.0f
0x1DD8   mSurfingParamsWaterGreen.mPowMin                        24.0f
0x1DEC   mSurfingParamsWaterGreen.mPowMax                        64.0f
0x1E00   mSurfingParamsWaterGreen.mAccel                         58.0f
0x1E14   mSurfingParamsWaterGreen.mWaistRoll                     0.25f
0x1E28   mSurfingParamsWaterGreen.mWaistPitch                    170.0f
0x1E3C   mSurfingParamsWaterGreen.mWaistRollMax                  0x400
0x1E50   mSurfingParamsWaterGreen.mWaistPitchMax                 0x1555
0x1E64   mSurfingParamsWaterGreen.mRoll                          -0.45f
0x1E78   mSurfingParamsWaterGreen.mPitch                         -170.0f
0x1E8C   mSurfingParamsWaterGreen.mRollMax                       0x4000
0x1EA0   mSurfingParamsWaterGreen.mPitchMax                      0x1555
0x1EB4   mSurfingParamsWaterGreen.mAngleChangeRate               0.01f
0x1EC8   mSurfingParamsWaterGreen.mWaistAngleChangeRate          0.01f
0x1EDC   mSurfingParamsWaterGreen.mScaleMin                      0.5f
0x1EF0   mSurfingParamsWaterGreen.mScaleMax                      1.0f
0x1F04   mSurfingParamsWaterGreen.mScaleMinSpeed                 24.0f
0x1F18   mSurfingParamsWaterGreen.mScaleMaxSpeed                 60.0f
0x1F2C   mSurfingParamsWaterGreen.mJumpPow                       42.0f
0x1F40   mSurfingParamsWaterGreen.mJumpXZRatio                   0.25f
0x1F54   mSurfingParamsWaterGreen.mClashSpeed                    40.0f
0x1F68   mSurfingParamsWaterGreen.mClashAngle                    0x5555
  --- mSurfingParamsGroundGreen (TSurfingParams) @ base 0x1F6C ---
0x1F84   mSurfingParamsGroundGreen.mRotMin                       2048.0f
0x1F98   mSurfingParamsGroundGreen.mRotMax                       1024.0f
0x1FAC   mSurfingParamsGroundGreen.mPowMin                       24.0f
0x1FC0   mSurfingParamsGroundGreen.mPowMax                       64.0f
0x1FD4   mSurfingParamsGroundGreen.mAccel                        58.0f
0x1FE8   mSurfingParamsGroundGreen.mWaistRoll                    0.25f
0x1FFC   mSurfingParamsGroundGreen.mWaistPitch                   170.0f
0x2010   mSurfingParamsGroundGreen.mWaistRollMax                 0x400
0x2024   mSurfingParamsGroundGreen.mWaistPitchMax                0x1555
0x2038   mSurfingParamsGroundGreen.mRoll                         -0.45f
0x204C   mSurfingParamsGroundGreen.mPitch                        -170.0f
0x2060   mSurfingParamsGroundGreen.mRollMax                      0x4000
0x2074   mSurfingParamsGroundGreen.mPitchMax                     0x1555
0x2088   mSurfingParamsGroundGreen.mAngleChangeRate              0.01f
0x209C   mSurfingParamsGroundGreen.mWaistAngleChangeRate         0.01f
0x20B0   mSurfingParamsGroundGreen.mScaleMin                     0.5f
0x20C4   mSurfingParamsGroundGreen.mScaleMax                     1.0f
0x20D8   mSurfingParamsGroundGreen.mScaleMinSpeed                24.0f
0x20EC   mSurfingParamsGroundGreen.mScaleMaxSpeed                60.0f
0x2100   mSurfingParamsGroundGreen.mJumpPow                      42.0f
0x2114   mSurfingParamsGroundGreen.mJumpXZRatio                  0.25f
0x2128   mSurfingParamsGroundGreen.mClashSpeed                   40.0f
0x213C   mSurfingParamsGroundGreen.mClashAngle                   0x5555
  --- mHoverParams (THHoverParams) @ base 0x2140 ---
0x2158   mHoverParams.mRotSp                                     0x80
0x216C   mHoverParams.mAccelRate                                 0.03f
0x2180   mHoverParams.mBrake                                     0.95f
  --- mDivingParams (TDivingParams) @ base 0x2184 ---
0x219C   mDivingParams.mRotSp                                    0x80
0x21B0   mDivingParams.mGravity                                  0.5f
0x21C4   mDivingParams.mAccelControl                             0.02f
0x21D8   mDivingParams.mSeaBrake                                 0.999f
0x21EC   mDivingParams.mSeaBrakeY                                0.98f
  --- mYoshiParams (TYoshiParams) @ base 0x21F0 ---
0x2208   mYoshiParams.mRunYoshiMult                              1.2f
0x221C   mYoshiParams.mJumpYoshiMult                             1.0f
0x2230   mYoshiParams.mRotYoshiMult                              1.5f
0x2244   mYoshiParams.mHeadFront                                 80.0f
0x2258   mYoshiParams.mHeadRadius                                50.0f
0x226C   mYoshiParams.mHoldOutAccCtrlF                           0.01f
0x2280   mYoshiParams.mHoldOutAccCtrlB                           0.023f
0x2294   mYoshiParams.mHoldOutSldCtrl                            0.3f
0x22A8   mYoshiParams.mDecBrake                                  1.0f
  --- mWaterEffectParams (TWaterEffectParams) @ base 0x22AC ---
0x22C4   mWaterEffectParams.mJumpIntoMdlEffectSpY                10.0f
0x22D8   mWaterEffectParams.mJumpIntoMinY                        20.0f
0x22EC   mWaterEffectParams.mJumpIntoMaxY                        50.0f
0x2300   mWaterEffectParams.mJumpIntoScaleMin                    0.75f
0x2314   mWaterEffectParams.mJumpIntoScaleWidth                  1.0f
0x2328   mWaterEffectParams.mRunningRippleSpeed                  30.0f
0x233C   mWaterEffectParams.mRunningRippleDepth                  30.0f
  --- mControllerParams (TControllerParams) @ base 0x2340 ---
0x2358   mControllerParams.mAnalogLRToZeroVal                    0x1e
0x236C   mControllerParams.mAnalogLRToMiddleVal                  0x5a
0x2380   mControllerParams.mAnalogLRToMaxVal                     0x96
0x2394   mControllerParams.mAnalogLRMiddleLevel                  0.1f
0x23A8   mControllerParams.mStartToWalkLevel                     15.0f
0x23BC   mControllerParams.mStickRotateTime                      0x18
0x23D0   mControllerParams.mLengthMultTimes                      10
0x23E4   mControllerParams.mLengthMult                           0.935f
0x23F8   mControllerParams.mSquatRotMidAnalog                    0.7f
0x240C   mControllerParams.mSquatRotMidValue                     0.05f
  --- mGraffitoParams (TGraffitoParams) @ base 0x2410 ---
0x2428   mGraffitoParams.mSinkTime                               0xf0
0x243C   mGraffitoParams.mSinkDmgTime                            0xf0
0x2450   mGraffitoParams.mSinkHeight                             150.0f
0x2464   mGraffitoParams.mSinkMoveMin                            0.3f
0x2478   mGraffitoParams.mSinkMoveMax                            0.5f
0x248C   mGraffitoParams.mSinkRecover                            0.05f
0x24A0   mGraffitoParams.mSinkJumpRateMin                        0.1f
0x24B4   mGraffitoParams.mSinkJumpRateMax                        0.3f
0x24C8   mGraffitoParams.mSinkPumpLimit                          0.25f
0x24DC   mGraffitoParams.mSinkDmgDepth                           0.25f
0x24F0   mGraffitoParams.mFireHeight                             1000.0f
0x2504   mGraffitoParams.mDizzySlipCtMax                         1000
0x2518   mGraffitoParams.mDizzyWalkCtMax                         1000
0x252C   mGraffitoParams.mDizzyAngleY                            0x7fff
0x2540   mGraffitoParams.mDizzyAngleRate                         400.0f
0x2554   mGraffitoParams.mDizzyPowerRate                         120.0f
0x2568   mGraffitoParams.mDizzyPower                             20.0f
0x257C   mGraffitoParams.mFireInvincibleTime                     0x96
0x2590   mGraffitoParams.mFootEraseTimes                         4
0x25A4   mGraffitoParams.mFootEraseSize                          400.0f
0x25B8   mGraffitoParams.mFootEraseFront                         200.0f
  --- mDirtyParams (TDirtyParams) @ base 0x25BC ---
0x25D4   mDirtyParams.mIncRunning                                0.1f
0x25E8   mDirtyParams.mIncCatching                               0.3f
0x25FC   mDirtyParams.mIncSlipping                               0.2f
0x2610   mDirtyParams.mDecSwimming                               0.5f
0x2624   mDirtyParams.mDecWaterHit                               0.2f
0x2638   mDirtyParams.mDecRotJump                                0.1f
0x264C   mDirtyParams.mBrakeStartValSlip                         0.99f
0x2660   mDirtyParams.mBrakeStartValRun                          0.98f
0x2674   mDirtyParams.mDirtyTimeSlip                             600
0x2688   mDirtyParams.mDirtyTimeRun                              600
0x269C   mDirtyParams.mPolSizeSlip                               200.0f
0x26B0   mDirtyParams.mPolSizeRun                                80.0f
0x26C4   mDirtyParams.mPolSizeFootPrint                          200.0f
0x26D8   mDirtyParams.mPolSizeJump                               200.0f
0x26EC   mDirtyParams.mSlopeAngle                                0.99f
